albumArtist,artist,album,track,rating,key,artistKey,albumKey,trackNum,discNum
Adem,Adem,Love and Other Planets,Launch Yourself,6,87278,87262,87274,4,1
Air France,Air France,No Way Down,Maundy Thursday,4,86923,86916,86922,1,1
Air France,Air France,No Way Down,No Way Down,6,86927,86916,86922,5,1
Air France,Air France,No Way Down,Windmill Wedding,4,86928,86916,86922,6,1
Air France,Air France,On Trade Winds,Introduction,4,86918,86916,86917,1,1
Alabama Shakes,Alabama Shakes,Boys & Girls,Hold On,8,99584,99566,99583,1,1
Alabama Shakes,Alabama Shakes,Boys & Girls,I Found You,6,99585,99566,99583,2,1
Alabama Shakes,Alabama Shakes,Boys & Girls,Hang Loose,6,99586,99566,99583,3,1
Alabama Shakes,Alabama Shakes,Boys & Girls,You Ain't Alone,8,99588,99566,99583,5,1
Alabama Shakes,Alabama Shakes,Boys & Girls,Goin' to the Party,6,99589,99566,99583,6,1
Alabama Shakes,Alabama Shakes,Boys & Girls,Heartbreaker,6,99590,99566,99583,7,1
Alabama Shakes,Alabama Shakes,Boys & Girls,Boys & Girls,6,99591,99566,99583,8,1
Alabama Shakes,Alabama Shakes,Boys & Girls,Be Mine,6,99592,99566,99583,9,1
Alabama Shakes,Alabama Shakes,Boys & Girls,I Ain't the Same,6,99593,99566,99583,10,1
Alabama Shakes,Alabama Shakes,Boys & Girls,On Your Way,6,99594,99566,99583,11,1
Alabama Shakes,Alabama Shakes,Sound & Color,Sound & Color,6,102381,99566,102380,1,1
The Album Leaf,The Album Leaf,In a Safe Place,Window,6,87194,87192,87193,1,1
The Album Leaf,The Album Leaf,In a Safe Place,Over the Pond,6,87199,87192,87193,6,1
The Album Leaf,The Album Leaf,Into The Blue Again,Into The Sea,6,87229,87192,87222,7,1
The Aliens,The Aliens,Luna,Magic Man,6,83016,83006,83011,5,1
Almunia,Almunia,Pulsar,The Awakening,6,87184,87182,87183,1,1
Almunia,Almunia,Pulsar,Views From A Blue Train,6,87187,87182,87183,4,1
Almunia,Almunia,Pulsar,Follows What You Are,6,87188,87182,87183,5,1
